time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-20 00:00:00+00:00,173.0,7.0,185,36
2024-06-21 00:00:00+00:00,27.0,5.0,125,35
2024-06-22 00:00:00+00:00,11.0,6.0,63,21
2024-06-23 00:00:00+00:00,9.0,5.0,48,16
2024-06-24 00:00:00+00:00,44.0,5.0,98,32
2024-06-25 00:00:00+00:00,16.0,5.0,122,27
2024-06-26 00:00:00+00:00,41.0,3.0,64,19
2024-06-27 00:00:00+00:00,55.0,4.0,161,49
2024-06-28 00:00:00+00:00,102.0,11.0,163,34
2024-06-29 00:00:00+00:00,7.0,3.0,21,10
2024-06-30 00:00:00+00:00,,,19,11
2024-07-01 00:00:00+00:00,65.0,9.0,68,30
2024-07-02 00:00:00+00:00,218.0,10.0,91,30
2024-07-03 00:00:00+00:00,51.0,6.0,91,23
