time_iso8601,forks_cumulative
2022-07-08 00:00:00+00:00,1
2022-07-13 00:00:00+00:00,2
2022-07-14 00:00:00+00:00,3
2022-07-15 00:00:00+00:00,4
2022-08-02 00:00:00+00:00,5
2022-08-22 00:00:00+00:00,6
2022-08-25 00:00:00+00:00,7
2022-08-26 00:00:00+00:00,8
2022-08-29 00:00:00+00:00,9
2022-08-30 00:00:00+00:00,10
2022-09-05 00:00:00+00:00,11
2022-09-15 00:00:00+00:00,12
2022-09-30 00:00:00+00:00,13
2022-10-21 00:00:00+00:00,14
2022-10-24 00:00:00+00:00,15
2022-10-25 00:00:00+00:00,16
2022-10-27 00:00:00+00:00,17
2022-10-28 00:00:00+00:00,18
2022-10-30 00:00:00+00:00,20
2022-10-31 00:00:00+00:00,21
2022-11-01 00:00:00+00:00,22
2022-11-14 00:00:00+00:00,23
2022-12-23 00:00:00+00:00,24
2023-01-03 00:00:00+00:00,25
2023-03-24 00:00:00+00:00,26
2023-04-09 00:00:00+00:00,27
2023-04-15 00:00:00+00:00,28
2023-06-03 00:00:00+00:00,29
2023-06-04 00:00:00+00:00,30
2023-06-19 00:00:00+00:00,31
2023-07-03 00:00:00+00:00,32
2023-07-06 00:00:00+00:00,33
2023-07-10 00:00:00+00:00,34
2023-07-25 00:00:00+00:00,35
2023-08-26 00:00:00+00:00,36
2023-09-03 00:00:00+00:00,37
2023-09-04 00:00:00+00:00,38
2023-09-05 00:00:00+00:00,40
2023-09-14 00:00:00+00:00,41
2023-09-26 00:00:00+00:00,42
2023-10-04 00:00:00+00:00,43
2023-10-06 00:00:00+00:00,44
2023-10-09 00:00:00+00:00,45
2023-10-11 00:00:00+00:00,46
2023-10-12 00:00:00+00:00,47
2023-10-16 00:00:00+00:00,48
2023-10-21 00:00:00+00:00,49
2023-10-24 00:00:00+00:00,52
2023-10-25 00:00:00+00:00,53
2023-10-27 00:00:00+00:00,57
2023-10-31 00:00:00+00:00,59
2023-11-05 00:00:00+00:00,60
2023-11-13 00:00:00+00:00,61
2023-11-14 00:00:00+00:00,62
2023-11-16 00:00:00+00:00,63
2023-11-17 00:00:00+00:00,65
2023-12-01 00:00:00+00:00,66
2023-12-12 00:00:00+00:00,67
2023-12-20 00:00:00+00:00,69
2023-12-27 00:00:00+00:00,70
2024-01-03 00:00:00+00:00,71
2024-02-06 00:00:00+00:00,72
2024-02-28 00:00:00+00:00,75
2024-03-01 00:00:00+00:00,76
2024-03-20 00:00:00+00:00,77
2024-03-28 00:00:00+00:00,78
