url_path,views_total,views_unique
/instill-ai/instill-core,464,270
/instill-ai/instill-core/pulls,82,16
/instill-ai/instill-core/tree/main/charts/core,59,10
/instill-ai/instill-core/tree/main/release-please,44,5
/instill-ai/instill-core/blob/heiru/INS-3983/charts/core/values.yaml,38,1
/instill-ai/instill-core/tree/main/model-hub,31,8
/instill-ai/instill-core/actions,31,5
/instill-ai/instill-core/tree/main/configs,26,5
/instill-ai/instill-core/blob/main/charts/core/values.yaml,24,3
/instill-ai/instill-core/pull/464,22,3
