time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-07-19 00:00:00+00:00,23,18,4,3
2022-07-20 00:00:00+00:00,84,47,114,10
2022-07-21 00:00:00+00:00,37,33,25,6
2022-07-22 00:00:00+00:00,245,79,9,5
2022-07-23 00:00:00+00:00,160,67,2,2
2022-07-24 00:00:00+00:00,38,26,3,2
2022-07-25 00:00:00+00:00,24,16,64,21
2022-07-26 00:00:00+00:00,96,60,47,15
2022-07-27 00:00:00+00:00,118,60,21,9
2022-07-28 00:00:00+00:00,119,61,6,6
2022-07-29 00:00:00+00:00,62,35,121,33
2022-07-30 00:00:00+00:00,4,3,15,10
2022-07-31 00:00:00+00:00,1,1,4,2
2022-08-01 00:00:00+00:00,19,6,108,9
2022-08-02 00:00:00+00:00,48,9,265,39
2022-08-03 00:00:00+00:00,7,3,78,13
2022-08-04 00:00:00+00:00,205,95,52,10
2022-08-05 00:00:00+00:00,172,63,32,12
2022-08-06 00:00:00+00:00,194,77,10,6
2022-08-07 00:00:00+00:00,268,84,36,7
2022-08-08 00:00:00+00:00,160,75,96,17
2022-08-09 00:00:00+00:00,124,62,22,4
2022-08-10 00:00:00+00:00,34,30,15,5
2022-08-11 00:00:00+00:00,30,23,56,7
2022-08-12 00:00:00+00:00,97,37,64,12
2022-08-13 00:00:00+00:00,60,25,11,5
2022-08-14 00:00:00+00:00,131,68,18,6
2022-08-15 00:00:00+00:00,298,78,65,10
2022-08-16 00:00:00+00:00,294,97,22,7
2022-08-17 00:00:00+00:00,224,80,57,16
2022-08-18 00:00:00+00:00,223,96,153,12
2022-08-19 00:00:00+00:00,272,95,73,20
2022-08-20 00:00:00+00:00,168,79,6,5
2022-08-21 00:00:00+00:00,71,35,83,9
2022-08-22 00:00:00+00:00,54,9,221,82
2022-08-23 00:00:00+00:00,79,40,40,25
2022-08-24 00:00:00+00:00,121,48,63,27
2022-08-25 00:00:00+00:00,163,72,240,137
2022-08-26 00:00:00+00:00,286,74,128,75
2022-08-27 00:00:00+00:00,180,74,63,38
2022-08-28 00:00:00+00:00,279,81,92,50
2022-08-29 00:00:00+00:00,252,88,177,104
2022-08-30 00:00:00+00:00,263,93,196,114
2022-08-31 00:00:00+00:00,165,80,186,115
2022-09-01 00:00:00+00:00,86,40,287,114
2022-09-02 00:00:00+00:00,9,6,144,64
2022-09-03 00:00:00+00:00,1,1,97,58
2022-09-04 00:00:00+00:00,1,1,60,51
2022-09-05 00:00:00+00:00,4,4,82,55
2022-09-06 00:00:00+00:00,84,53,97,39
2022-09-07 00:00:00+00:00,253,100,69,32
2022-09-08 00:00:00+00:00,271,83,34,19
2022-09-09 00:00:00+00:00,203,73,37,16
2022-09-10 00:00:00+00:00,200,79,71,15
2022-09-11 00:00:00+00:00,98,48,16,10
2022-09-12 00:00:00+00:00,19,14,75,51
2022-09-13 00:00:00+00:00,178,73,65,42
2022-09-14 00:00:00+00:00,223,82,69,27
2022-09-15 00:00:00+00:00,100,55,38,18
2022-09-16 00:00:00+00:00,19,16,24,18
2022-09-17 00:00:00+00:00,2,1,11,9
2022-09-18 00:00:00+00:00,2,2,22,9
2022-09-19 00:00:00+00:00,53,32,21,14
2022-09-20 00:00:00+00:00,126,64,107,13
2022-09-21 00:00:00+00:00,252,96,198,23
2022-09-22 00:00:00+00:00,296,114,45,19
2022-09-23 00:00:00+00:00,258,82,47,13
2022-09-24 00:00:00+00:00,271,89,16,11
2022-09-25 00:00:00+00:00,292,86,15,7
2022-09-26 00:00:00+00:00,168,81,45,22
2022-09-27 00:00:00+00:00,36,29,43,20
2022-09-28 00:00:00+00:00,0,0,24,18
2022-09-29 00:00:00+00:00,6,5,33,27
2022-09-30 00:00:00+00:00,123,56,23,13
2022-10-01 00:00:00+00:00,119,50,16,8
2022-10-02 00:00:00+00:00,35,27,20,8
2022-10-03 00:00:00+00:00,0,0,27,10
